sphere_type,j,x,y,z,size
current,19,1.553597,-1.635749,1.149005,0.100000
current,0,-0.428993,-0.342673,2.046480,0.100000
current,1,0.767563,-0.383415,2.342909,0.100000
current,2,-0.852441,-0.245311,1.084892,0.100000
current,3,0.356755,1.525651,1.451435,0.100000
current,4,-0.762516,-0.982004,1.371736,0.100000
current,5,0.381073,-1.176656,1.005199,0.100000
current,6,-2.069805,-1.238405,1.408973,0.100000
current,7,-0.642532,0.208295,2.023536,0.100000
current,8,1.427339,1.332858,2.912100,0.100000
current,9,0.162660,-0.104397,2.819757,0.100000
current,10,-1.712129,-1.322147,2.466964,0.100000
current,11,-1.508169,-1.026212,1.279554,0.100000
current,12,1.564370,1.796810,1.818067,0.100000
current,13,1.099108,0.569636,1.315590,0.100000
current,14,1.576116,0.121449,1.016938,0.100000
current,15,1.532097,0.222684,1.716838,0.100000
current,16,1.024635,1.233588,2.453538,0.100000
current,17,-0.990113,-0.896933,2.418584,0.100000
current,18,-0.968077,1.474263,1.470946,0.100000
current,19,1.543156,-1.614889,1.152122,0.100000
current,0,-0.408649,-0.340234,2.032156,0.100000
current,1,0.771786,-0.365817,2.331948,0.100000
current,2,-0.830948,-0.234847,1.077571,0.100000
current,3,0.341929,1.505998,1.447082,0.100000
current,4,-0.763614,-0.989218,1.375747,0.100000
current,5,0.360117,-1.188123,0.997827,0.100000
current,6,-2.073865,-1.245521,1.405261,0.100000
current,7,-0.623922,0.224901,2.021821,0.100000
current,8,1.413598,1.343266,2.930208,0.100000
current,9,0.156101,-0.126447,2.829544,0.100000
current,10,-1.715033,-1.337365,2.466921,0.100000
current,11,-1.501630,-1.023290,1.274051,0.100000
current,12,1.573626,1.793196,1.795126,0.100000
current,13,1.080076,0.558761,1.303569,0.100000
current,14,1.566195,0.109741,1.002853,0.100000
current,15,1.540744,0.210997,1.737176,0.100000
current,16,1.009824,1.233025,2.450935,0.100000
current,17,-1.006505,-0.885137,2.415270,0.100000
current,18,-0.966545,1.460713,1.491899,0.100000
current,19,1.532645,-1.594306,1.155305,0.100000
current,0,-0.388397,-0.337850,2.017693,0.100000
current,1,0.775180,-0.347881,2.321800,0.100000
current,2,-0.809206,-0.224786,1.070425,0.100000
current,3,0.327079,1.486498,1.442161,0.100000
current,4,-0.764935,-0.995982,1.380135,0.100000
current,5,0.339361,-1.199933,0.990429,0.100000
current,6,-2.077036,-1.252884,1.401598,0.100000
current,7,-0.604856,0.241050,2.020997,0.100000
current,8,1.398940,1.354114,2.947309,0.100000
current,9,0.150284,-0.149027,2.838560,0.100000
current,10,-1.717640,-1.352410,2.466723,0.100000
current,11,-1.495345,-1.019820,1.268237,0.100000
current,12,1.582506,1.789289,1.772085,0.100000
current,13,1.061980,0.547545,1.291980,0.100000
current,14,1.556633,0.098719,0.989501,0.100000
current,15,1.549674,0.199421,1.757455,0.100000
current,16,0.996249,1.232669,2.448106,0.100000
current,17,-1.023989,-0.871928,2.411226,0.100000
current,18,-0.965491,1.447762,1.513257,0.100000
current,19,1.521977,-1.574052,1.158234,0.100000
current,0,-0.368230,-0.335637,2.003085,0.100000
current,1,0.777840,-0.329692,2.312621,0.100000
current,2,-0.787320,-0.215044,1.063279,0.100000
current,3,0.312335,1.466992,1.436951,0.100000
current,4,-0.766595,-1.001999,1.385030,0.100000
current,5,0.318849,-1.212025,0.982811,0.100000
current,6,-2.079295,-1.260520,1.397873,0.100000
current,7,-0.585833,0.256674,2.021338,0.100000
current,8,1.383471,1.365400,2.963383,0.100000
current,9,0.145149,-0.172239,2.846296,0.100000
current,10,-1.719864,-1.367126,2.466458,0.100000
current,11,-1.489396,-1.015742,1.261996,0.100000
current,12,1.590995,1.784924,1.748979,0.100000
current,13,1.044728,0.535736,1.280781,0.100000
current,14,1.547105,0.088171,0.977074,0.100000
current,15,1.558831,0.187876,1.777651,0.100000
current,16,0.983853,1.232445,2.445207,0.100000
current,17,-1.042130,-0.858005,2.406710,0.100000
current,18,-0.964620,1.435368,1.534951,0.100000
current,19,1.511109,-1.554082,1.161309,0.100000
current,0,-0.348191,-0.333364,1.988312,0.100000
current,1,0.779853,-0.311447,2.304103,0.100000
current,2,-0.765275,-0.205541,1.056300,0.100000
current,3,0.297707,1.447556,1.431182,0.100000
current,4,-0.768600,-1.007144,1.390352,0.100000
current,5,0.298540,-1.224366,0.975049,0.100000
current,6,-2.080635,-1.268546,1.394154,0.100000
current,7,-0.567237,0.271275,2.022669,0.100000
current,8,1.367340,1.377028,2.978534,0.100000
current,9,0.140598,-0.195926,2.852871,0.100000
current,10,-1.721652,-1.381493,2.466117,0.100000
current,11,-1.483745,-1.010577,1.255347,0.100000
current,12,1.599194,1.780064,1.725867,0.100000
current,13,1.028603,0.523795,1.270082,0.100000
current,14,1.537636,0.077802,0.965467,0.100000
current,15,1.568142,0.176356,1.797790,0.100000
current,16,0.972443,1.232472,2.441946,0.100000
current,17,-1.061257,-0.843085,2.401691,0.100000
current,18,-0.964187,1.423408,1.556900,0.100000
current,19,1.500014,-1.534514,1.164325,0.100000
current,0,-0.328181,-0.331081,1.973500,0.100000
current,1,0.781182,-0.293120,2.296568,0.100000
current,2,-0.743053,-0.196455,1.049325,0.100000
current,3,0.283138,1.428279,1.424767,0.100000
current,4,-0.771055,-1.011692,1.396471,0.100000
current,5,0.278412,-1.236961,0.967225,0.100000
current,6,-2.081080,-1.277060,1.390470,0.100000
current,7,-0.549128,0.284942,2.025091,0.100000
current,8,1.350479,1.388856,2.992704,0.100000
current,9,0.136476,-0.219939,2.858472,0.100000
current,10,-1.723010,-1.395650,2.465674,0.100000
current,11,-1.478497,-1.004468,1.247990,0.100000
current,12,1.607064,1.774606,1.702775,0.100000
current,13,1.013511,0.511669,1.259858,0.100000
current,14,1.528860,0.068221,0.954453,0.100000
current,15,1.577513,0.164969,1.817977,0.100000
current,16,0.962022,1.232698,2.438540,0.100000
current,17,-1.080520,-0.828093,2.396290,0.100000
current,18,-0.964207,1.412107,1.578920,0.100000
current,19,1.488723,-1.515356,1.167509,0.100000
current,0,-0.308187,-0.328958,1.958642,0.100000
current,1,0.781988,-0.274563,2.289977,0.100000
current,2,-0.720793,-0.187468,1.042345,0.100000
current,3,0.268561,1.409200,1.417804,0.100000
current,4,-0.773827,-1.015235,1.402964,0.100000
current,5,0.258346,-1.249592,0.959299,0.100000
current,6,-2.080280,-1.286252,1.386954,0.100000
current,7,-0.531674,0.297669,2.028446,0.100000
current,8,1.332960,1.400775,3.005972,0.100000
current,9,0.132856,-0.244301,2.862761,0.100000
current,10,-1.723957,-1.409392,2.465205,0.100000
current,11,-1.473505,-0.997255,1.240127,0.100000
current,12,1.614641,1.768705,1.679693,0.100000
current,13,0.999447,0.499486,1.249984,0.100000
current,14,1.520404,0.059318,0.944004,0.100000
current,15,1.586838,0.153435,1.838102,0.100000
current,16,0.952591,1.233076,2.435003,0.100000
current,17,-1.099847,-0.813279,2.390631,0.100000
